drug_id,Name,Synonyms,Targets,Target pathway,PubCHEM,Sample Size,Count
"1242","(5Z)-7-Oxozeaenol","5Z-7-Oxozeaenol, LL-Z1640-2","TAK1","Other, kinases","9863776","GDSC1","912","SANGER","565"
"179","5-Fluorouracil","5-FU","Antimetabolite (DNA & RNA)","Other","3385","GDSC1","913","MGH","565"
"1073","5-Fluorouracil","5-FU","Antimetabolite (DNA & RNA)","Other","3385","GDSC2","806","SANGER","565"
"86","A-443654","KIN001-139","AKT1, AKT2, AKT3","PI3K/MTOR signaling","10172943","GDSC1","399","MGH","565"
"55","A-770041","KIN001-111","LCK, FYN","Other, kinases","9549184","GDSC1","399","MGH","565"
"477","A-83-01","","TGFB","Other","","GDSC1","911","MGH","565"
"1910","ABT737","","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1","Apoptosis regulation","11228183","GDSC2","751","SANGER","565"
"264","ACY-1215","","HDAC6","Chromatin histone acetylation","","GDSC1","923","MGH","565"
"1913","AGI-5198","IDH-C35","IDH1 (R132H)","Metabolism","56645356","GDSC2","752","SANGER","565"
"562","AGI-6780","","IDH2(R140Q)","Metabolism","","GDSC1","915","MGH","565"
"1634","AGI-6780","AK162157","IDH2 R140Q mutant","Metabolism","71299339","GDSC2","728","SANGER","565"
"1001","AICA Ribonucleotide","AICAR, N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide","AMPK agonist","Metabolism","65110","GDSC1","939","SANGER","565"
"171","AKT inhibitor VIII","Akti-1/2, KIN001-102","AKT1, AKT2, AKT3","PI3K/MTOR signaling","10196499","GDSC1","884","MGH","565"
"228","AKT inhibitor VIII","Akti-1/2, KIN001-102","AKT1, AKT2, AKT3","PI3K/MTOR signaling","10196499","GDSC1","919","MGH","565"
"2045","AMG-319","AMG319","PI3K (beta sparing)","PI3K/MTOR signaling","68947304","GDSC2","747","SANGER","565"
"272","AR-42","HDAC-42, AR 42, AR42","HDAC1","Chromatin histone acetylation","6918848","GDSC1","905","MGH","565"
"474","ARRY-520","","KIF11","Mitosis","","GDSC1","905","MGH","565"
"207","AS601245","","JNK1, JNK2, JNK2","JNK and p38 signaling","10109823","GDSC1","877","MGH","565"
"224","AS605240","KIN001-173, AS-605240","PI3Kgamma","PI3K/MTOR signaling","5289247","GDSC1","915","MGH","565"
"381","AST-1306","","EGFR, ERBB4","RTK signaling","","GDSC1","910","MGH","565"
"219","AT-7519","AT7519","CDK1, CDK2, CDK4, CDK6, CDK9","Cell cycle","11338033","GDSC1","907","MGH","565"
"2170","AT13148","","AKT1","PI3K/MTOR signaling","","GDSC2","745","SANGER","565"
"356","AT7867","","AKT","PI3K/MTOR signaling","","GDSC1","925","MGH","565"
"1184","AZ20","","ATR","Genome integrity","","GDSC1","940","SANGER","565"
"2109","AZ6102","","TNKS1, TNKS2","WNT signaling","91663328","GDSC2","746","SANGER","565"
"29","AZ628","AZ-628, AZ 628","BRAF","ERK MAPK signaling","11676786","GDSC1","402","MGH","565"
"1250","AZ960","AZ 960, AZ-960","JAK2, JAK3","Other, kinases","25099184","GDSC2","725","SANGER","565"
"1449","AZD1208","SN1028350371","PIM1, PIM2, PIM3","Other, kinases","","GDSC1","933","SANGER","565"
"1449","AZD1208","SN1028350371","PIM1, PIM2, PIM3","Other, kinases","","GDSC2","727","SANGER","565"
"1463","AZD1332","SN1061387896","NTRK1, NTRK2, NTRK3","RTK signaling","","GDSC1","932","SANGER","565"
"1463","AZD1332","SN1061387896","NTRK1, NTRK2, NTRK3","RTK signaling","","GDSC2","728","SANGER","565"
"1432","AZD1480","SN1044232195","JAK1, JAK2","Other, kinases","","GDSC1","933","SANGER","565"
"1441","AZD2014","SN1103949359","mTORC1, mTORC2","PI3K/MTOR signaling","","GDSC1","931","SANGER","565"
"1441","AZD2014","SN1103949359","mTORC1, mTORC2","PI3K/MTOR signaling","","GDSC2","728","SANGER","565"
"1382","AZD3514","SN1019841295","AR","Hormone-related","","GDSC1","930","SANGER","565"
"1915","AZD3759","","EGFR","EGFR signaling","78209992","GDSC2","760","SANGER","565"
"1135","AZD4547","AZ6","FGRF1, FGFR2, FGFR3","RTK signaling","","GDSC1","938","SANGER","565"
"1497","AZD4547","AZ6","FGFR1, FGFR2, FGFR3","RTK signaling","","GDSC1","885","SANGER","565"
"1786","AZD4547","1035270-39-3","FGFR1, FGFR2, FGFR3","RTK signaling","51039095","GDSC2","757","SANGER","565"
"1409","AZD4877","SN1055467765","EG5","Mitosis","","GDSC1","930","SANGER","565"
"1706","AZD5153","SN1045566955, AZD5153","BRD4","Chromatin other","","GDSC2","727","SANGER","565"
"1916","AZD5363","","AKT1, AKT2, AKT3, ROCK2","Other, kinases","25227436, 42602260","GDSC2","752","SANGER","565"
"1401","AZD5438","SN1057898678","CDK2","Cell cycle","","GDSC1","929","SANGER","565"
"1401","AZD5438","SN1057898678","CDK2","Cell cycle","","GDSC2","728","SANGER","565"
"1427","AZD5582","SN1021632995","IAP","Other","","GDSC1","920","SANGER","565"
"1617","AZD5582","GTPL7710, AOB5560","XIAP, cIAP","Apoptosis regulation","49847690","GDSC2","716","SANGER","565"
"1720","AZD5991","SN1049446612, AZD5991","MCL1","Apoptosis regulation","","GDSC2","724","SANGER","565"
"1403","AZD6094","SN1042487586","MET","RTK signaling","","GDSC1","931","SANGER","565"
"156","AZD6482","AZD 6482, AZD-6482, AK-55409","PI3Kbeta","PI3K/MTOR signaling","44137675","GDSC1","883","MGH","565"
"1066","AZD6482","AZD 6482, AZD-6482, AK-55409","PI3Kbeta","PI3K/MTOR signaling","44137675","GDSC1","916","SANGER","565"
"2169","AZD6482","AZD 6482, AZD-6482, AK-55409","PI3Kbeta","PI3K/MTOR signaling","44137675","GDSC2","48","SANGER","565"
"1394","AZD6738","SN1034081770","ATR","Genome integrity","","GDSC1","931","SANGER","565"
"1917","AZD6738","AZD 6738, AZD-6738","ATR","Genome integrity","54761306","GDSC2","752","SANGER","565"
"1022","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","11152667","GDSC1","945","SANGER","565"
"1402","AZD7762","SN1031853762","CHEK1, CHEK2","Cell cycle","","GDSC1","933","SANGER","565"
"1022","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","11152667","GDSC2","764","SANGER","565"
"1426","AZD7969","SN1098976045","GSK3B","WNT signaling","","GDSC1","927","SANGER","565"
"1059","AZD8055","AZD-8055","MTORC1, MTORC2","PI3K/MTOR signaling","25262965","GDSC1","935","SANGER","565"
"1059","AZD8055","AZD-8055","MTORC1, MTORC2","PI3K/MTOR signaling","25262965","GDSC2","96","SANGER","565"
"1444","AZD8186","SN1028722848","PI3Kbeta, PI3Kdelta","PI3K/MTOR signaling","","GDSC1","928","SANGER","565"
"1918","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","52913813","GDSC2","752","SANGER","565"
"1445","AZD8835","SN1040214596","PI3Kalpha, PI3Kdelta","PI3K/MTOR signaling","","GDSC1","922","SANGER","565"
"1416","AZD8931","SN0216062465","EGFR, ERBB2, ERBB3","RTK signaling","","GDSC1","926","SANGER","565"
"1804","Acetalax","Oxyphenisatin acetate","","Unclassified","","GDSC2","728","SANGER","565"
"1032","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","10184653","GDSC1","943","SANGER","565"
"1377","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","10184653","GDSC1","914","SANGER","565"
"1032","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","10184653","GDSC2","805","SANGER","565"
"1912","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","46843057","GDSC2","751","SANGER","565"
"281","Alectinib","CH5424802, CH 542802, Alecensa","ALK","RTK signaling","49806720","GDSC1","917","MGH","565"
"431","Alisertib","MLN8237","AURKA","Mitosis","","GDSC1","896","MGH","565"
"1051","Alisertib","MLN8237","AURKA","Mitosis","24771867","GDSC2","730","SANGER","565"
"1560","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","56649450","GDSC2","804","SANGER","565"
"293","Amuvatinib","MP470, MP 470, MP-470","KIT, PDGFRA, FLT3","RTK signaling","11282283","GDSC1","912","MGH","565"
